timestamp,user_input,prediction,bot_reply
2025-07-06 00:56:12,i wanna die,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 00:56:29,i am happy,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 00:56:38,i will kill myself,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 00:57:02,clear,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 00:57:33,hi how are you,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 00:57:40,kill me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 01:05:25,i wanna die,Not Suicidal,सुनकर अच्छा लगा! 😊 मैं हमेशा चैट करने के लिए यहां हूं।
2025-07-06 01:05:46,kill me,Not Suicidal,सुनकर अच्छा लगा! 😊 मैं हमेशा चैट करने के लिए यहां हूं।
2025-07-06 01:07:36,clear,Not Suicidal,सुनकर अच्छा लगा! 😊 मैं हमेशा चैट करने के लिए यहां हूं।
2025-07-06 01:10:46,i wanna die,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 01:11:11,मुझे मर जाना चाहिए,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 01:11:20,मुझे मर जाना चाहिए,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 01:13:07,i wanna die,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-06 01:13:30,मुझे मर जाना चाहिए,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 22:38:25,i wanna die,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:38:43,im hhappy want to dance,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:38:58,i want to dance and have fun,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:46:37,i wanna die,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:46:50,i am happy want to dance,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 22:47:06,lets dance together,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 22:47:15,kill me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 22:47:31,murder me i dont want to live,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:47:41,kill me end my life,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 22:47:45,kill me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:15:26,i wanna die,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:15:36,kill me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:15:45, i wanna end my life,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 23:15:56,i am happy,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:16:02,dance with me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:16:11,murder me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:20:06,kill me,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 23:20:28,i wanna die,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 23:20:33,happy me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:20:41,want to dance,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:20:50,party today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:20:57,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
